,BoroCT,2011 Household Median Income
1403,4002200,43269
1404,4002400,78110
1405,4002500,19715
1406,4002600,88304
1407,4002800,54398
1408,4003000,76014
1409,4003100,55184
1410,4003200,64559
1411,4003300,58793
1412,4003400,61742
1413,4003600,53650
1414,4003700,-
1415,4003800,51063
1416,4003900,32277
1417,4004001,54675
1418,4004002,62674
1419,4004200,50469
1420,4004300,13859
1421,4004401,53678
1422,4004500,76731
1423,4004700,27014
1424,4005000,-
1425,4005100,37109
1426,4005200,48750
1427,4005300,58973
1428,4005400,56743
1429,4005500,50591
1430,4005700,47235
1431,4005800,67623
1432,4005900,57841
1433,4006100,51903
1434,4006201,55527
1435,4006202,55884
1436,4006300,47016
1437,4006501,54802
1438,4006502,63651
1439,4006900,43587
1440,4007100,43396
1441,4007300,56420
1442,4007500,44120
1443,4007700,64844
1444,4007900,40625
1445,4008100,56507
1446,4008300,50259
1447,4008500,40625
1448,4008600,66020
1449,4008700,22383
1450,4008800,74129
1451,4009100,66477
1452,4009400,50184
1453,4009500,57938
1454,4009600,53953
1455,4009700,65221
1456,4009800,54031
1457,4009900,-
1458,4010000,80150
1459,4010100,56393
1460,4010200,51667
1461,4010300,48258
1462,4010400,53581
1463,4010500,39091
1464,4010600,51792
1465,4010701,-
1466,4010800,52361
1467,4011000,49375
1468,4011100,78125
1469,4011200,44837
1470,4011300,57425
1471,4011400,60699
1472,4011500,54510
1473,4011600,43250
1474,4011700,64310
1475,4011800,62443
1476,4011900,47604
1477,4012000,72237
1478,4012100,53527
1479,4012200,43750
1480,4012301,65379
1481,4012400,57316
1482,4012500,56154
1483,4012601,54805
1484,4012602,53155
1485,4012800,59659
1486,4013000,82083
1487,4013200,56012
1488,4013400,57641
1489,4013500,59136
1490,4013600,41875
1491,4013700,58409
1492,4013800,52439
